,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,cluster
3237,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:4PgleR09JVnm3zY1fW3XBA,24K Magic,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,2016-11-17,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,1,5,261240,https://p.scdn.co/mp3-preview/6984bfcc42ba35e566625853e20d6fccf7b8348e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USAT21602949,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.578,0.574,2.0,-6.209,1.0,0.0454,0.196,0.0,0.083,0.301,174.152,4.0,,Atlantic Records,"C © 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company",2
3253,spotify:track:2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),"spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:6LqNN22kT3074XbTVUrhzX","Macklemore, Kesha",spotify:album:72qA6s4fjF8Y2VX1UDMfp2,GEMINI,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,Macklemore,2017-09-22,https://i.scdn.co/image/ab67616d0000b2732e94b668c60b06deb1c3a05c,1,6,240506,https://p.scdn.co/mp3-preview/c0e1c96502d357facf7ffaf1d143de31bbeb6780?cid=9950ac751e34487dbbe027c4fd7f8e99,False,74,QZ8TY1700016,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop rap,seattle hip hop,dance pop,pop",0.712,0.51,8.0,-8.162,1.0,0.0633,0.446,2.46e-05,0.112,0.268,122.964,4.0,,Bendo LLC,"C © 2017, Bendo LLC, P ℗ 2017, Bendo LLC",0
3260,spotify:track:6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:album:1rzDtYMpZDhRgKNigB467r,Night Visions (Deluxe),spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2012-09-04,https://i.scdn.co/image/ab67616d0000b273a8f95e7f840c11edfa6cc3bd,1,5,189840,https://p.scdn.co/mp3-preview/63c233fd86794fed3c0b3a3ba5e1e4916e1a23bc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USUM71201073,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"modern rock,pop,rock",0.635,0.926,0.0,-5.589,1.0,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,4.0,,Kid Ina Korner / Interscope,"C © 2013 KIDinaKORNER/Interscope Records, P ℗ 2013 KIDinaKORNER/Interscope Records",1
3281,spotify:track:1f8UCzB3RqIgNkW7QIiIeP,Heart Skips a Beat (feat. Rizzle Kicks),"spotify:artist:3whuHq0yGx60atvA2RCVRW, spotify:artist:2ajhZ7EA6Dec0kaWiKCApF","Olly Murs, Rizzle Kicks",spotify:album:2OvZ8JCShhvxNkptwoGjve,In Case You Didn't Know,spotify:artist:3whuHq0yGx60atvA2RCVRW,Olly Murs,2011-11-28,https://i.scdn.co/image/ab67616d0000b273ff2057b7343d2233451ff8e7,1,1,202266,https://p.scdn.co/mp3-preview/bb6789b8baff0d0dcafe83e7b0506788445c41f3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,GBARL1100728,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,talent show,uk hip hop",0.843,0.881,9.0,-3.951,1.0,0.0581,0.14,0.0,0.0765,0.876,110.621,4.0,,Epic,P (P) 2011 Sony Music Entertainment UK Limited,1
3284,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,"spotify:artist:33ScadVnbm2X8kkUqOkC6Z, spotify:artist:5bv5RplEOwdCvhq0EILh9E","Don Omar, Lucenzo",spotify:album:6mGDfbDErYIJsmSewvccWm,Meet The Orphans,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,Don Omar,2010-01-01,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,1,12,198773,https://p.scdn.co/mp3-preview/0cf2193024a1453c9ace77a5563d371e5dc94f38?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USUM71020778,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino,reggaeton",0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,3.0,,UMLE - Machete,"C © 2010 Machete Music, P ℗ 2010 Machete Music",1
3287,spotify:track:0GiwV6v3AgJfdu59tj719Y,Pump It Up,spotify:artist:6F3vLfyutkUhpM50G84eMt,Endor,spotify:album:3D8C4a5lYbpEu5bPQmOpJj,Pump It Up,spotify:artist:6F3vLfyutkUhpM50G84eMt,Endor,2019-09-13,https://i.scdn.co/image/ab67616d0000b27331355fb0f556ede9c6b651cd,1,1,150635,https://p.scdn.co/mp3-preview/b29cfef831d487fec5d51ef194f00d6df34d82f6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,74,GBCPZ1916610,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"deep groove house,scottish rock",0.899,0.894,1.0,-7.255,1.0,0.222,0.203,9.95e-05,0.0606,0.654,129.047,4.0,,Defected Records,"C © 2019 Defected Records Limited, P ℗ 2019 Defected Records Limited",1
3288,spotify:track:3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"spotify:artist:1PKErrAhYFdfrDymGHRQRo, spotify:artist:4Euia7UzdRshy1DJOSMTcs","Nathan Evans, 220 KID",spotify:album:1zEBi4O4AaY5M55dUcUp3z,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),"spotify:artist:1PKErrAhYFdfrDymGHRQRo, spotify:artist:4Euia7UzdRshy1DJOSMTcs","Nathan Evans, 220 KID",2021-01-21,https://i.scdn.co/image/ab67616d0000b273b55f1a2f0299d6525c6ac99e,1,1,116750,https://p.scdn.co/mp3-preview/e10dae6cd1f50eb5faa0eacd66eb78a4ab7a7f36?cid=9950ac751e34487dbbe027c4fd7f8e99,False,75,GBUM72100298,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop dance,uk dance",0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4.0,,Polydor Records,"C © 2021 Universal Music Operations Limited, P ℗ 2021 Universal Music Operations Limited",1
3289,spotify:track:7B1Dl3tXqySkB8OPEwVvSu,We'll Be Coming Back (feat. Example),"spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Calvin Harris, Example",spotify:album:7w19PFbxAjwZ7UVNp9z0uT,18 Months,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,2012-10-29,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,1,5,234360,https://p.scdn.co/mp3-preview/6e203c4db9b8d807282a610240d980d3f5f60a72?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,GBARL1200642,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,hip house,uk dance",0.596,0.952,7.0,-4.364,1.0,0.0873,0.00131,0.0,0.598,0.571,127.945,4.0,,Columbia,P (P) 2012 Sony Music Entertainment UK Limited,2
3293,spotify:track:6kwAbEjseqBob48jCus7Sz,Elastic Heart,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:album:3xFSl9lIRaYXIYkIn3OIl9,1000 Forms Of Fear,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,2014-07-04,https://i.scdn.co/image/ab67616d0000b2735d199c9f6e6562aafa5aa357,1,8,257200,https://p.scdn.co/mp3-preview/de49280d6844d85ca2886d7be3f3677453a13bc0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USRC11400976,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,australian pop,pop",0.421,0.791,9.0,-4.998,1.0,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,4.0,,Monkey Puzzle Records/RCA Records,"P (P) 2014 RCA Records, a division of Sony Music Entertainment",2
3303,spotify:track:7pDxNYVQLKzrbkCe8OCag3,Dance Off (feat. Idris Elba & Anderson .Paak),"spotify:artist:5BcAKTbp20cv7tC5VqPFoC, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:0Dc2rdPzleezxhvQhQbXuS, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Idris Elba, Anderson .Paak",spotify:album:2kqn09pydzvKvB3xWbAxY4,This Unruly Mess I've Made,"spotify:artist:5BcAKTbp20cv7tC5VqPFoC, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis",2016-02-26,https://i.scdn.co/image/ab67616d0000b27351245bae78fd3afa47e90453,1,9,229680,https://p.scdn.co/mp3-preview/bbe913209dc722a3cbd607fb07f57e125222eb7a?cid=9950ac751e34487dbbe027c4fd7f8e99,True,57,GMM881600008,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop rap,seattle hip hop,pop rap,seattle hip hop,pop rap,uk tech house,escape room,hip hop,indie soul,neo soul",0.77,0.818,7.0,-3.914,1.0,0.0533,0.0411,0.000127,0.164,0.459,120.979,4.0,,Macklemore,"C © 2016 Macklemore, LLC, P ℗ 2016 Macklemore, LLC",1
3304,spotify:track:7efTNoBgYZ3IsB8wpP1f7R,Spectrum,spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,spotify:album:19J2iqK89BCrNG4El2FRi5,Ceremonials (Original Deluxe Version),spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,2011-01-01,https://i.scdn.co/image/ab67616d0000b2736a8c1075f751a78e0b7799c7,1,10,311533,https://p.scdn.co/mp3-preview/3927c66cb02f4b45b2d5a9542cbcdae005c74e6b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,GBUM71107576,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"baroque pop,modern rock,uk alternative pop",0.574,0.879,11.0,-5.571,0.0,0.05,0.0685,0.000549,0.101,0.122,123.086,4.0,,Universal-Island Records Ltd.,"C © 2011 Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2011 Universal Island Records, a division of Universal Music Operations Limited",2
3308,spotify:track:72jbDTw1piOOj770jWNeaG,Paris,spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,spotify:album:4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,2017-04-07,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,1,8,221506,https://p.scdn.co/mp3-preview/2b043ab3ea679d2e91c5bd827cbf24ef7a2b1b44?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,USQX91603031,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"electropop,pop",0.653,0.658,2.0,-6.428,1.0,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4.0,,Disruptor Records/Columbia,P (P) 2017 Disruptor Records/Columbia Records,2
3320,spotify:track:32lItqlMi4LBhb4k0BaSaC,Candy Paint,spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone,spotify:album:6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone,2018-04-27,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,1,17,227533,https://p.scdn.co/mp3-preview/5821f55e076a1477c63588d1a0859a8893152e97?cid=9950ac751e34487dbbe027c4fd7f8e99,True,80,USUM71711842,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dfw rap,melodic rap,pop,rap",0.664,0.667,4.0,-5.941,1.0,0.154,0.64,1.22e-06,0.0753,0.381,180.064,4.0,,Republic Records,"C © 2018 Republic Records, a division of UMG Recordings, Inc., P ℗ 2018 Republic Records, a division of UMG Recordings, Inc.",2
3328,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)","spotify:artist:6MPCFvOQv5cIGfw3jODMF0, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ, spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:7rkW85dBwwrJtlHRDkJDAC","Internet Money, Gunna, Don Toliver, NAV",spotify:album:2vGU0DOcfsDee0euvhl1iZ,B4 The Storm,spotify:artist:6MPCFvOQv5cIGfw3jODMF0,Internet Money,2020-08-28,https://i.scdn.co/image/ab67616d0000b2739ca0c952f130e28025209cf0,1,17,195428,https://p.scdn.co/mp3-preview/2c70ae554b0019f3780af30177c211e40aea0512?cid=9950ac751e34487dbbe027c4fd7f8e99,True,78,QZJ842000368,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop rap,atl hip hop,melodic rap,rap,trap,rap,trap,canadian hip hop,canadian trap,melodic rap,rap,toronto rap,trap",0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,4.0,,Internet Money Records/ TenThousand Projects,"C © 2020 Internet Money Records / TenThousand Projects, P ℗ 2020 Internet Money Records / TenThousand Projects",1
3335,spotify:track:2plRom0urixt6BE8t7kOhQ,Girl From Rio,spotify:artist:7FNnA9vBm6EKceENgCGRMb,Anitta,spotify:album:4mMUHylk2hcCsxc2FursmJ,Girl From Rio,spotify:artist:7FNnA9vBm6EKceENgCGRMb,Anitta,2021-04-29,https://i.scdn.co/image/ab67616d0000b2730d847ff5620fa92330eac52a,1,1,194421,https://p.scdn.co/mp3-preview/6e492a45871c4fcc1af108460d5180a6caa9f13c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USWB12101015,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"funk pop,funk rj,pagode baiano,pop,pop nacional",0.692,0.639,0.0,-6.717,1.0,0.0352,0.00727,0.0,0.199,0.733,140.059,4.0,,Warner Records,"C © 2021 Warner Records Inc., P ℗ 2021 Warner Records Inc.",1
3337,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Style,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,1,3,231000,https://p.scdn.co/mp3-preview/5ed0bbbc40dda2bce0e008fe02949cd254f0ea69?cid=9950ac751e34487dbbe027c4fd7f8e99,False,92,USCJY1431319,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,4.0,,"Big Machine Records, LLC","C © 2014 Apollo A-1 LLC, P ℗ 2014 Apollo A-1 LLC",1
3342,spotify:track:5AnCLGg35ziFOloEnXK4uu,Adore You,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:3RDqXDc1bAETps54MSSOW0,Bangerz (Deluxe Version),spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,2013-10-04,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,1,1,278746,https://p.scdn.co/mp3-preview/1a66b7a1b05ab7036b4460b251ac954193bff749?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USRC11301264,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.583,0.655,0.0,-5.407,1.0,0.0315,0.111,3.57e-06,0.113,0.201,119.759,4.0,,RCA Records Label,"P (P) 2013 RCA Records, a division of Sony Music Entertainment",2
3347,spotify:track:7EAFj7eJcMF5koWSRJVZcL,The Fighter,"spotify:artist:0u2FHSq3ln94y5Q57xazwf, spotify:artist:4xFUf1FHVy696Q1JQZMTRj","Keith Urban, Carrie Underwood",spotify:album:1r7ABqzNXQnUPAH3ZjrHMn,Ripcord (Australian Tour Edition),spotify:artist:0u2FHSq3ln94y5Q57xazwf,Keith Urban,2015-05-06,https://i.scdn.co/image/ab67616d0000b273ccfe879bd2b3fac9b42051dc,1,8,184040,https://p.scdn.co/mp3-preview/5c030f9c0058f8c2a996de53bf5d04265c1fcb0e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,USUG11600163,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian country,australian pop,contemporary country,country,country road,classic oklahoma country,contemporary country,country,country dawn,country road,dance pop",0.681,0.856,11.0,-5.166,0.0,0.0517,0.0224,0.0,0.188,0.755,132.011,4.0,,Capitol Nashville,"C © 2016 Hit Red Records, under exclusive license to Capitol Records Nashville, P ℗ 2016 Hit Red Records, under exclusive license to Capitol Records Nashville",1
3358,spotify:track:1zHlj4dQ8ZAtrayhuDDmkY,Timber (feat. Ke$ha),"spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:6LqNN22kT3074XbTVUrhzX","Pitbull, Kesha",spotify:album:3X33e7UII5loqrEgauOKEC,Timber (feat. Ke$ha),spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,2013-10-07,https://i.scdn.co/image/ab67616d0000b27316f7ba31754ea8368bf63186,1,1,204053,https://p.scdn.co/mp3-preview/17787d74a2c5b1a6c4da2269900105799e92332a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,59,USRC11301695,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,miami hip hop,pop,dance pop,pop",0.587,0.965,11.0,-4.106,1.0,0.101,0.0362,0.0,0.138,0.825,129.972,4.0,,Mr.305/Polo Grounds Music/RCA Records,"P (P) 2013 RCA Records, a division of Sony Music Entertainment",1
3368,spotify:track:00iCRJ7pk3onHablkLyVH1,"Today's The Day - From ""The Ellen DeGeneres Show""",spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk,spotify:album:4nka5RtqtC17gwfl4bjFs8,"Today's The Day (From ""The Ellen DeGeneres Show"")",spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk,2015-09-10,https://i.scdn.co/image/ab67616d0000b2732e7c36c5659940447dbda182,1,1,224826,https://p.scdn.co/mp3-preview/3e1d3eefa69220d7c46fd79a3de2a0d480078157?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,USRC11502058,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.497,0.922,0.0,-4.674,0.0,0.139,0.0363,0.0,0.0702,0.496,124.036,4.0,,RCA Records Label,"P (P) 2015 RCA Records, a division of Sony Music Entertainment",2
3369,spotify:track:7rGMKCgeYXpBecQ1FPb3oc,Without You (feat. Usher),"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:23zg3TcAtWQy7J6upgbUnj","David Guetta, Usher",spotify:album:08DAekBeqPRCsn3XHDwj6b,Nothing but the Beat,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2011-08-31,https://i.scdn.co/image/ab67616d0000b273b234aeff6eedc8276fe0333a,1,5,208133,https://p.scdn.co/mp3-preview/dc7d9e45294e4f2ed194693a78e46e9a85fd1210?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,GB28K1100030,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"big room,dance pop,edm,pop,pop dance,atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.608,0.614,2.0,-3.727,1.0,0.0285,0.227,3.82e-06,0.157,0.402,127.885,4.0,,Parlophone (France),"C © 2011 What A Music Ltd, Licence exclusive Parlophone Music France, P ℗ 2011 What A Music Ltd, Licence exclusive Parlophone Music France",2
3373,spotify:track:4HQ9gXAtONKs8NCM0MFUTu,Turn Up The Love,"spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:4jbcqKzc4Wuy6MivHhzPrP","Far East Movement, Cover Drive",spotify:album:7L4wBF41PvzPCQbPoXNfPs,Dirty Bass (Spotify International Version),spotify:artist:698hF4vcwHwPy8ltmXermq,Far East Movement,2012-01-01,https://i.scdn.co/image/ab67616d0000b2737ebcf6afbf5e9a252767a7f7,1,4,195960,https://p.scdn.co/mp3-preview/3ffb29f39a596fbcdd3bef748907b573bdc80cd7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,56,USUM71204292,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"asian american hip hop,dance pop,pop rap,barbadian pop,talent show",0.752,0.872,6.0,-4.186,1.0,0.117,0.12,0.0,0.234,0.677,123.888,4.0,,Cherrytree Records/Kierszenbaum 33%,"C © 2012 Interscope Records, P ℗ 2012 Interscope Records",1
3389,spotify:track:1p6rk9R8SCum97WnvGNt6O,I Love You Always Forever,spotify:artist:0t3QQl52F463sxGXb1ckhB,Betty Who,spotify:album:3hB9OJw377uPbysIRkNjfF,I Love You Always Forever,spotify:artist:0t3QQl52F463sxGXb1ckhB,Betty Who,2016-06-03,https://i.scdn.co/image/ab67616d0000b2732ca40678cd6a213773c8a48f,1,1,222957,https://p.scdn.co/mp3-preview/7d3d1e5cf74e8bd6b7906767ccf7f1eb94848f4f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,60,USRC11601058,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,dance pop,electropop,metropopolis",0.532,0.613,0.0,-7.64,1.0,0.0576,0.326,0.0,0.292,0.493,106.081,4.0,,RCA Records Label,"P (P) 2016 RCA Records, a division of Sony Music Entertainment",0
3407,spotify:track:5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,spotify:album:3id4t9IqRoB1f1smOERtrY,Greatest Hits: God's Favorite Band,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,2017-11-17,https://i.scdn.co/image/ab67616d0000b2737f213369d5265a60af5f7e82,1,14,262333,https://p.scdn.co/mp3-preview/258775e7324ab09be650b91d322d22948ed9df1a?cid=9950ac751e34487dbbe027c4fd7f8e99,True,80,USRE10400985,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"modern rock,permanent wave,punk,rock",0.496,0.682,8.0,-4.095,1.0,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,4.0,,Reprise,"C © 2017 Reprise Records, P ℗ 2017 Reprise Records",2
3409,spotify:track:1XpYodsD36XN7ygcdF7mJJ,The A Team,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:02pi98kE0nra0yBqCStzbC,+,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2011-09-09,https://i.scdn.co/image/ab67616d0000b2736567a393a964a845a89b7f70,1,1,258373,https://p.scdn.co/mp3-preview/1cab73cd0e33cec8fe9a0ffe7319170862f37f8a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,71,GBAHS1100095,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.642,0.289,9.0,-9.918,1.0,0.0367,0.669,0.0,0.18,0.407,84.996,4.0,,Atlantic Records UK,"C © 2011 Warner Music UK Limited, P ℗ 2011 Warner Music UK Limited",0
3410,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,My Way,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:album:0dzeoQhVNzKkwM5ieOJC54,My Way,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,2016-09-16,https://i.scdn.co/image/ab67616d0000b2738d12bc5e3ea5c9f4a967de32,1,1,219159,https://p.scdn.co/mp3-preview/ed8d125912048b01914f6e5861742bec125602e8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,GBARL1601358,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance",0.818,0.913,4.0,-3.06,0.0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4.0,,Columbia,P (P) 2016 Sony Music Entertainment UK Limited,1
3411,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class,spotify:artist:2LIk90788K0zvyj2JJVwkJ,Jack Harlow,spotify:album:2eE8BVirX9VF8Di9hD90iw,Come Home The Kids Miss You,spotify:artist:2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2022-05-06,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,1,4,173947,https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=9950ac751e34487dbbe027c4fd7f8e99,True,84,USAT22203024,spotify:user:bradnumber1,2022-06-20T02:51:20Z,"deep underground hip hop,kentucky hip hop,pop rap,rap",0.902,0.582,5.0,-5.902,0.0,0.109,0.111,3.18e-06,0.111,0.332,107.005,4.0,,Generation Now/Atlantic,"C © 2022 Generation Now/ Atlantic Recording Corporation, P ℗ 2022 Generation Now/ Atlantic Recording Corporation",1
3413,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,Begin Again,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1EoDsNmgTLtmwe1BDAVxV5,Red,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2012-10-22,https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5,1,16,237613,https://p.scdn.co/mp3-preview/5b4e3c96dd6bf5b03336b7c705b570155eb70e1b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,61,USCJY1231045,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.53,0.526,7.0,-8.349,1.0,0.0263,0.199,3.52e-06,0.232,0.323,79.025,4.0,,"Big Machine Records, LLC","C © 2012 Apollo A-1 LLC, P ℗ 2012 Apollo A-1 LLC",0
3421,spotify:track:0W4Kpfp1w2xkY3PrV714B7,Ho Hey,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,spotify:album:6NWYmlHxAME5KXtxrTlUxW,The Lumineers,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,2012-04-03,https://i.scdn.co/image/ab67616d0000b27373cd0c903b9929d5ce7b26dd,1,5,163133,https://p.scdn.co/mp3-preview/c33540bb4add6e78feca6e0cf121fbd0d3b9e6dd?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,USDMG1260805,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"folk-pop,modern rock,stomp and holler",0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,4.0,,Dualtone Music Group,"C 2012 Dualtone Music Group, a division of MNRK Records, P 2012 Dualtone Music Group, a division of MNRK Records",0
